led,BKN,FEW,OVC,altim_in_hg,dewpoint_c,elevation_m,flight_category,latitude,longitude,observation_time,precip_in,station_id,temp_c,visibility_statute_mi,wind_dir_degrees,wind_speed_kt,wx_string,temp_f,elevation_ft,cloudbase_msl,cloudbase_agl,R,G,B,clr,clr255
63,,,,30.171259,3.3,117.0,VFR,37.7,-121.82,2017-11-19T15:53:00Z,,KLVK,5.0,8.0,0.0,0.0,,41.0,383.85828,695.4545454545455,311.5962654545455,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
64,,,,30.180119,8.0,24.0,VFR,37.83,-121.67,2017-11-19T16:35:00Z,,KC83,9.0,10.0,0.0,0.0,,48.2,78.74016,409.09090909090907,330.35074909090906,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
65,,,,30.180119,3.9,21.0,VFR,37.67,-122.12,2017-11-19T15:54:00Z,,KHWD,7.8,10.0,0.0,0.0,,46.04,68.89764,1595.4545454545453,1526.5569054545454,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
66,,,,30.180119,5.0,2.0,VFR,37.47,-122.12,2017-11-19T15:47:00Z,,KPAO,6.0,10.0,0.0,0.0,,42.8,6.56168,409.09090909090907,402.52922909090904,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
67,,,,30.180119,6.0,1.0,VFR,37.52,-122.25,2017-11-19T15:47:00Z,,KSQL,7.0,10.0,0.0,0.0,,44.6,3.28084,409.09090909090907,405.81006909090905,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
68,,,,30.129921,7.0,21.0,,37.52,-122.5,2017-11-19T16:35:00Z,,KHAF,9.0,9.0,0.0,0.0,,48.2,68.89764,818.1818181818181,749.2841781818181,,,,"[nan, nan, nan]","[nan, nan, nan]"
69,,,,30.180119,6.1,12.0,VFR,37.4,-122.05,2017-11-19T15:56:00Z,,KNUQ,6.7,10.0,0.0,0.0,,44.06,39.37008,245.45454545454567,206.08446545454566,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
70,,,,30.180119,3.9,11.0,VFR,38.0,-122.05,2017-11-19T15:53:00Z,,KCCR,6.1,10.0,150.0,4.0,,42.980000000000004,36.08924,899.9999999999999,863.9107599999999,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
71,,,,30.171259,5.0,10.0,VFR,37.88,-121.22,2017-11-19T15:55:00Z,,KSCK,5.0,6.0,0.0,0.0,BR,41.0,32.8084,0.0,-32.8084,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
72,,,,30.268702,-6.3,2173.0,VFR,37.62,-118.82,2017-11-19T16:35:00Z,,KMMH,0.0,10.0,340.0,3.0,,32.0,7129.2653199999995,2577.272727272727,-4551.9925927272725,0.0,1.0,0.0,"[0.0, 1.0, 0.0]","[0.0, 255.0, 0.0]"
